"Umrli po: SPOL, LETO, KAZALNIK , STATISTI?NA REGIJA"

" ";" ";"Umrli";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"Pomurska";"Podravska";"Koro?ka";"Savinjska";"Zasavska";"Spodnjeposavska";"Jugovzhodna Slovenija";"Osrednjeslovenska";"Gorenjska";"Notranjsko-kra?ka";"Gori?ka";"Obalno-kra?ka"
"Mo?ki"
" ";"2000";749;1682;332;1196;273;405;661;2013;831;280;640;495
" ";"2001";766;1566;342;1263;258;414;734;2052;833;244;611;571
" ";"2002";711;1601;334;1323;291;412;711;2037;826;258;641;551
" ";"2003";816;1721;367;1387;250;402;714;2077;887;308;597;549
" ";"2004";702;1611;363;1257;246;404;646;2087;809;237;603;514
" ";"2005";724;1631;371;1154;292;372;681;1981;818;259;600;530
" ";"2006";670;1618;367;1187;217;373;655;2007;803;265;587;521
" ";"2007";658;1671;339;1187;230;403;714;1986;891;273;583;538
" ";"2008";658;1590;367;1179;240;390;616;1975;805;278;613;463
" ";"2009";676;1569;361;1210;220;374;685;1952;857;265;609;515
" ";"2010";621;1573;338;1221;237;416;640;2019;884;253;548;542
" ";"2011";675;1664;385;1128;240;336;663;2002;853;213;551;525
" ";"2012";613;1559;337;1268;225;396;707;2049;861;266;653;478
" ";"2013";662;1677;358;1185;256;391;676;2051;855;271;627;546
" ";"2014";679;1541;323;1156;248;371;687;2012;856;256;594;485
