"STAROST";"SPOL";"LETO";Umrli
"0 let";"Moški";"2010";24
"0 let";"Moški";"2011";41
"0 let";"Moški";"2012";18
"0 let";"Moški";"2013";32
"0 let";"Moški";"2014";19
"0 let";"Ženske";"2010";32
"0 let";"Ženske";"2011";23
"0 let";"Ženske";"2012";18
"0 let";"Ženske";"2013";30
"0 let";"Ženske";"2014";20
"1 leto";"Moški";"2010";2
"1 leto";"Moški";"2011";3
"1 leto";"Moški";"2012";4
"1 leto";"Moški";"2013";2
"1 leto";"Moški";"2014";1
"1 leto";"Ženske";"2010";3
"1 leto";"Ženske";"2011";2
"1 leto";"Ženske";"2012";4
"1 leto";"Ženske";"2013";0
"1 leto";"Ženske";"2014";1
"2 leti";"Moški";"2010";1
"2 leti";"Moški";"2011";0
"2 leti";"Moški";"2012";1
"2 leti";"Moški";"2013";2
"2 leti";"Moški";"2014";2
"2 leti";"Ženske";"2010";2
"2 leti";"Ženske";"2011";5
"2 leti";"Ženske";"2012";1
"2 leti";"Ženske";"2013";1
"2 leti";"Ženske";"2014";1
"3 leta";"Moški";"2010";2
"3 leta";"Moški";"2011";3
"3 leta";"Moški";"2012";3
"3 leta";"Moški";"2013";2
"3 leta";"Moški";"2014";1
"3 leta";"Ženske";"2010";3
"3 leta";"Ženske";"2011";2
"3 leta";"Ženske";"2012";2
"3 leta";"Ženske";"2013";0
"3 leta";"Ženske";"2014";0
"4 leta";"Moški";"2010";0
"4 leta";"Moški";"2011";1
"4 leta";"Moški";"2012";0
"4 leta";"Moški";"2013";2
"4 leta";"Moški";"2014";0
"4 leta";"Ženske";"2010";5
"4 leta";"Ženske";"2011";2
"4 leta";"Ženske";"2012";0
"4 leta";"Ženske";"2013";2
"4 leta";"Ženske";"2014";0
"5 let";"Moški";"2010";3
"5 let";"Moški";"2011";3
"5 let";"Moški";"2012";1
"5 let";"Moški";"2013";0
"5 let";"Moški";"2014";0
"5 let";"Ženske";"2010";2
"5 let";"Ženske";"2011";0
"5 let";"Ženske";"2012";0
"5 let";"Ženske";"2013";0
"5 let";"Ženske";"2014";1
"6 let";"Moški";"2010";1
"6 let";"Moški";"2011";1
"6 let";"Moški";"2012";3
"6 let";"Moški";"2013";1
"6 let";"Moški";"2014";2
"6 let";"Ženske";"2010";1
"6 let";"Ženske";"2011";1
"6 let";"Ženske";"2012";0
"6 let";"Ženske";"2013";1
"6 let";"Ženske";"2014";1
"7 let";"Moški";"2010";1
"7 let";"Moški";"2011";0
"7 let";"Moški";"2012";1
"7 let";"Moški";"2013";1
"7 let";"Moški";"2014";1
"7 let";"Ženske";"2010";0
"7 let";"Ženske";"2011";2
"7 let";"Ženske";"2012";0
"7 let";"Ženske";"2013";1
"7 let";"Ženske";"2014";1
"8 let";"Moški";"2010";0
"8 let";"Moški";"2011";0
"8 let";"Moški";"2012";1
"8 let";"Moški";"2013";1
"8 let";"Moški";"2014";1
"8 let";"Ženske";"2010";1
"8 let";"Ženske";"2011";0
"8 let";"Ženske";"2012";0
"8 let";"Ženske";"2013";1
"8 let";"Ženske";"2014";1
"9 let";"Moški";"2010";0
"9 let";"Moški";"2011";0
"9 let";"Moški";"2012";0
"9 let";"Moški";"2013";1
"9 let";"Moški";"2014";0
"9 let";"Ženske";"2010";2
"9 let";"Ženske";"2011";0
"9 let";"Ženske";"2012";0
"9 let";"Ženske";"2013";0
"9 let";"Ženske";"2014";0
"10 let";"Moški";"2010";0
"10 let";"Moški";"2011";2
"10 let";"Moški";"2012";1
"10 let";"Moški";"2013";1
"10 let";"Moški";"2014";1
"10 let";"Ženske";"2010";1
"10 let";"Ženske";"2011";1
"10 let";"Ženske";"2012";0
"10 let";"Ženske";"2013";2
"10 let";"Ženske";"2014";0
"11 let";"Moški";"2010";0
"11 let";"Moški";"2011";3
"11 let";"Moški";"2012";0
"11 let";"Moški";"2013";3
"11 let";"Moški";"2014";2
"11 let";"Ženske";"2010";1
"11 let";"Ženske";"2011";0
"11 let";"Ženske";"2012";2
"11 let";"Ženske";"2013";0
"11 let";"Ženske";"2014";0
"12 let";"Moški";"2010";1
"12 let";"Moški";"2011";1
"12 let";"Moški";"2012";1
"12 let";"Moški";"2013";0
"12 let";"Moški";"2014";1
"12 let";"Ženske";"2010";1
"12 let";"Ženske";"2011";0
"12 let";"Ženske";"2012";0
"12 let";"Ženske";"2013";1
"12 let";"Ženske";"2014";1
"13 let";"Moški";"2010";0
"13 let";"Moški";"2011";0
"13 let";"Moški";"2012";0
"13 let";"Moški";"2013";0
"13 let";"Moški";"2014";0
"13 let";"Ženske";"2010";0
"13 let";"Ženske";"2011";1
"13 let";"Ženske";"2012";0
"13 let";"Ženske";"2013";0
"13 let";"Ženske";"2014";2
"14 let";"Moški";"2010";2
"14 let";"Moški";"2011";0
"14 let";"Moški";"2012";0
"14 let";"Moški";"2013";1
"14 let";"Moški";"2014";2
"14 let";"Ženske";"2010";0
"14 let";"Ženske";"2011";1
"14 let";"Ženske";"2012";4
"14 let";"Ženske";"2013";2
"14 let";"Ženske";"2014";1
"15 let";"Moški";"2010";0
"15 let";"Moški";"2011";4
"15 let";"Moški";"2012";1
"15 let";"Moški";"2013";4
"15 let";"Moški";"2014";1
