"Obèina","Umrli","Umrli.mlajši.od.65.let","Prezgonja.umrljivost"
"Ajdovšèina",163,33,"20.2"
"Apaèe",55,12,"21.8"
"Beltinci",89,16,"18.0"
"Benedikt",17,7,"41.2"
"Bistrica ob Sotli",14,2,"14.3"
"Bled",67,14,"20.9"
"Bloke",13,1,"7.7"
"Bohinj",68,12,"17.6"
"Borovnica",27,8,"29.6"
"Bovec",36,7,"19.4"
"Braslovèe",42,9,"21.4"
"Brda",68,12,"17.6"
"Brezovica",134,11,"8.2"
"Brežice",300,57,"19.0"
"Cankova",22,6,"27.3"
"Celje",432,83,"19.2"
"Cerklje na Gorenjskem",55,8,"14.5"
"Cerknica",147,14,"9.5"
"Cerkno",33,11,"33.3"
"Cerkvenjak",26,6,"23.1"
"Cirkulane",26,6,"23.1"
"Èrenšovci",45,10,"22.2"
"Èrna na Koroškem",34,8,"23.5"
"Èrnomelj",167,28,"16.8"
"Destrnik",27,5,"18.5"
"Divaèa",31,8,"25.8"
"Dobje",5,1,"20.0"
"Dobrepolje",49,13,"26.5"
"Dobrna",22,4,"18.2"
"Dobrova - Polhov Gradec",48,7,"14.6"
"Dobrovnik/Dobronak",21,2,"9.5"
"Dol pri Ljubljani",25,2,"8.0"
"Dolenjske Toplice",21,5,"23.8"
"Domžale",228,44,"19.3"
"Dornava",25,10,"40.0"
"Dravograd",104,10,"9.6"
"Duplek",45,11,"24.4"
"Gorenja vas - Poljane",52,8,"15.4"
"Gorišnica",44,10,"22.7"
"Gorje",16,3,"18.8"
"Gornja Radgona",88,20,"22.7"
"Gornji Grad",68,9,"13.2"
"Gornji Petrovci",32,5,"15.6"
"Grad",30,3,"10.0"
"Grosuplje",133,25,"18.8"
"Hajdina",31,5,"16.1"
"Hoèe - Slivnica",73,19,"26.0"
"Hodoš/Hodos",5,1,"20.0"
"Horjul",55,6,"10.9"
"Hrastnik",116,21,"18.1"
"Hrpelje - Kozina",33,8,"24.2"
"Idrija",151,26,"17.2"
"Ig",36,6,"16.7"
"Ilirska Bistrica",180,22,"12.2"
"Ivanèna Gorica",120,27,"22.5"
"Izola/Isola",153,30,"19.6"
"Jesenice",205,46,"22.4"
"Jezersko",7,2,"28.6"
"Juršinci",26,5,"19.2"
"Kamnik",233,32,"13.7"
"Kanal",59,12,"20.3"
"Kidrièevo",71,14,"19.7"
"Kobarid",52,11,"21.2"
"Kobilje",5,1,"20.0"
"Koèevje",155,33,"21.3"
"Komen",34,4,"11.8"
"Komenda",27,9,"33.3"
"Koper/Capodistria",416,95,"22.8"
"Kostanjevica na Krki",11,3,"27.3"
"Kostel",6,2,"33.3"
"Kozje",45,8,"17.8"
"Kranj",394,77,"19.5"
"Kranjska Gora",75,6,"8.0"
"Križevci",42,8,"19.0"
"Krško",237,42,"17.7"
"Kungota",27,8,"29.6"
"Kuzma",23,6,"26.1"
"Laško",173,31,"17.9"
"Lenart",131,28,"21.4"
"Lendava/Lendva",158,24,"15.2"
"Litija",112,29,"25.9"
"Ljubljana",2189,375,"17.1"
"Ljubno",23,5,"21.7"
"Ljutomer",125,25,"20.0"
"Log - Dragomer",30,5,"16.7"
"Logatec",110,17,"15.5"
"Loška dolina",31,8,"25.8"
"Loški Potok",51,9,"17.6"
"Lovrenc na Pohorju",33,7,"21.2"
"Luèe",13,4,"30.8"
"Lukovica",33,5,"15.2"
"Majšperk",28,8,"28.6"
"Makole",12,1,"8.3"
"Maribor",1194,225,"18.8"
"Markovci",32,8,"25.0"
"Medvode",124,16,"12.9"
"Mengeš",85,8,"9.4"
"Metlika",97,19,"19.6"
"Mežica",21,4,"19.0"
"Miklavž na Dravskem polju",49,13,"26.5"
"Miren - Kostanjevica",39,16,"41.0"
"Mirna",27,6,"22.2"
"Mirna Peè",24,3,"12.5"
"Mislinja",44,9,"20.5"
"Mokronog - Trebelno",24,5,"20.8"
"Moravèe",31,4,"12.9"
"Moravske Toplice",68,13,"19.1"
"Mozirje",29,9,"31.0"
"Murska Sobota",206,34,"16.5"
"Muta",21,5,"23.8"
"Naklo",50,9,"18.0"
"Nazarje",19,4,"21.1"
"Nova Gorica",351,67,"19.1"
"Novo mesto",319,61,"19.1"
"Odranci",16,6,"37.5"
"Oplotnica",32,6,"18.8"
"Ormož",138,28,"20.3"
"Osilnica",5,2,"40.0"
"Pesnica",94,24,"25.5"
"Piran/Pirano",153,31,"20.3"
"Pivka",51,13,"25.5"
"Podèetrtek",35,7,"20.0"
"Podlehnik",18,7,"38.9"
"Podvelka",26,5,"19.2"
"Poljèane",63,4,"6.3"
"Polzela",80,7,"8.8"
"Postojna",138,19,"13.8"
"Prebold",59,11,"18.6"
"Preddvor",60,8,"13.3"
"Prevalje",92,16,"17.4"
"Ptuj",230,39,"17.0"
"Puconci",73,12,"16.4"
"Raèe - Fram",47,11,"23.4"
"Radeèe",25,4,"16.0"
"Radenci",69,8,"11.6"
"Radlje ob Dravi",77,9,"11.7"
"Radovljica",178,29,"16.3"
"Ravne na Koroškem",80,24,"30.0"
"Razkrižje",10,5,"50.0"
"Reèica ob Savinji",22,1,"4.5"
"Renèe - Vogrsko",39,7,"17.9"
"Ribnica",101,19,"18.8"
"Ribnica na Pohorju",14,7,"50.0"
"Rogaška Slatina",101,26,"25.7"
"Rogašovci",42,7,"16.7"
"Rogatec",25,2,"8.0"
"Ruše",58,13,"22.4"
"Selnica ob Dravi",39,10,"25.6"
"Semiè",23,5,"21.7"
"Sevnica",223,33,"14.8"
"Sežana",156,30,"19.2"
"Slovenj Gradec",132,28,"21.2"
"Slovenska Bistrica",186,39,"21.0"
"Slovenske Konjice",122,22,"18.0"
"Sodražica",16,2,"12.5"
"Solèava",7,1,"14.3"
"Središèe ob Dravi",24,0,"0.0"
"Starše",35,7,"20.0"
"Straža",20,4,"20.0"
"Sveta Ana",24,5,"20.8"
"Sveta Trojica v Slov. goricah",25,5,"20.0"
"Sveti Andraž v Slov. goricah",8,2,"25.0"
"Sveti Jurij ob Šèavnici",27,5,"18.5"
"Sveti Jurij v Slov. goricah",21,3,"14.3"
"Sveti Tomaž",25,3,"12.0"
"Šalovci",17,5,"29.4"
"Šempeter - Vrtojba",35,10,"28.6"
"Šenèur",58,13,"22.4"
"Šentilj",57,10,"17.5"
"Šentjernej",48,8,"16.7"
"Šentjur",165,40,"24.2"
"Šentrupert",33,8,"24.2"
"Škocjan",24,5,"20.8"
"Škofja Loka",188,40,"21.3"
"Škofljica",50,10,"20.0"
"Šmarje pri Jelšah",115,20,"17.4"
"Šmarješke Toplice",39,9,"23.1"
"Šmartno ob Paki",17,4,"23.5"
"Šmartno pri Litiji",70,15,"21.4"
"Šoštanj",97,15,"15.5"
"Štore",72,11,"15.3"
"Tabor",13,4,"30.8"
"Tišina",35,10,"28.6"
"Tolmin",162,27,"16.7"
"Trbovlje",218,45,"20.6"
"Trebnje",110,25,"22.7"
"Trnovska vas",18,3,"16.7"
"Trzin",25,8,"32.0"
"Tržiè",145,34,"23.4"
"Turnišèe",28,8,"28.6"
"Velenje",251,55,"21.9"
"Velika Polana",30,5,"16.7"
"Velike Lašèe",41,9,"22.0"
"Veržej",7,0,"0.0"
"Videm",41,7,"17.1"
"Vipava",72,12,"16.7"
"Vitanje",22,7,"31.8"
"Vodice",31,4,"12.9"
"Vojnik",83,7,"8.4"
"Vransko",30,4,"13.3"
"Vrhnika",116,16,"13.8"
"Vuzenica",15,2,"13.3"
"Zagorje ob Savi",166,38,"22.9"
"Zavrè",11,4,"36.4"
"Zreèe",44,12,"27.3"
"Žalec",150,46,"30.7"
"Železniki",44,10,"22.7"
"Žetale",20,7,"35.0"
"Žiri",31,5,"16.1"
"Žirovnica",37,7,"18.9"
"Žužemberk",38,10,"26.3"
